dot_x,dot_y,dot_fwhm_x,dot_fwhm_y,laser_x,laser_y
1.387827713109385513e+03,6.583758357061232118e+02,7.790933184948598011e+01,9.966732978085448849e+03,nan,nan
1.385828531098112080e+03,nan,7.933785421726658171e+01,nan,nan,nan
1.387801612294900679e+03,nan,7.747314272883347996e+01,nan,nan,nan
1.388064930496314446e+03,6.613565489138715066e+02,7.718411940940187321e+01,1.580504339662268620e+01,1.268399849281796378e+03,1.110067602327369514e+03
1.388375577277408865e+03,6.626938351427952512e+02,7.622366445582154881e+01,1.774855330503013562e+01,1.268191106903692571e+03,1.110755328283333938e+03
1.390138975783910837e+03,6.620972173959180509e+02,7.364938973128471389e+01,1.652982212242442728e+01,nan,nan
1.387818036512992421e+03,6.629883143847619067e+02,7.679931149102368693e+01,1.846309400673233725e+01,1.264377374055104838e+03,1.111745464262583482e+03
1.388841345561990693e+03,6.520733877460393160e+02,7.638817178447285983e+01,9.455281941161953000e+03,nan,nan
1.391032464310306977e+03,6.395123263408722778e+02,7.319640330663956718e+01,7.000796569058985369e+03,1.259635141892052616e+03,1.114655988332275456e+03
1.389531152342063478e+03,6.603345027944013736e+02,7.456605983410119620e+01,1.447990380074439543e+01,nan,nan
1.390385158584486589e+03,6.597132013264679244e+02,7.388365823546898525e+01,1.330712765502266670e+01,nan,nan
1.391348663969291238e+03,6.402518005400005450e+02,7.246808332342909864e+01,7.163565088011449916e+03,1.263279514527752553e+03,1.111187586223855305e+03
1.391808776421974699e+03,6.388873530817663777e+02,7.252562387047711923e+01,7.076356217172223296e+03,1.259607519232621598e+03,1.113437724602627213e+03
1.392759254150811785e+03,6.382039612790653109e+02,7.176611893602367331e+01,8.328216032248372358e+03,1.264209415116372384e+03,1.111332626393070541e+03
1.392371577684446720e+03,6.379530167896454032e+02,7.050491661788110775e+01,6.634679880292691450e+03,1.262677728561243384e+03,1.110450356916324608e+03
1.393708775773968910e+03,6.360880209177660163e+02,6.976096241228192696e+01,8.005861969416258034e+03,1.263266984758115768e+03,1.110500242394925181e+03
1.391591793836169245e+03,6.361856689595799708e+02,7.072132349336213508e+01,6.439251383410384733e+03,1.256728474405511861e+03,1.114825742307852579e+03
1.391335402551261268e+03,6.373525096645444137e+02,7.265944985207092088e+01,6.619565006881804948e+03,1.259025612545395006e+03,1.111799245510647324e+03
1.393948766906384662e+03,6.352419881963749049e+02,7.110371530576190935e+01,6.123862796166529733e+03,1.259889736729762262e+03,1.111453500276773411e+03
1.393688222713256437e+03,6.357165464689330747e+02,7.100276737661603477e+01,6.133301256065322377e+03,1.259493901417517918e+03,1.111693940646439614e+03
